velocity_x,velocity_y,constant_offset_check,total_displacement,attacktype
-3.3626,29.136999999999997,29.33,0.0,5
10.013,0.62102,10.033,0.0,1
0.28339000000000003,0.01839,0.28399,217.2,0
0.049947000000000005,-0.0061313,0.050322000000000006,86.691,0
0.11997000000000001,1.07,1.0767,183.39,0
0.43682,0.0095919,0.43693000000000004,301.64,0
-2.4689,-0.24873,2.4814,19.355,0
-219.39,193.04,292.23,6026.8,3
-0.089882,0.057727,0.10682,1067.5,0
-0.37965,0.35596,0.5204300000000001,198.06,0
0.3462,0.32398000000000005,0.47413999999999995,468.97,2
-9.9716,-1.4196,10.072000000000001,0.0,1
0.014633000000000002,-0.06361599999999999,0.065277,50.666000000000004,0
19.817,2.2359999999999998,19.942,34.941,5
0.30937,0.012679000000000001,0.30963,378.23,0
0.27016,-0.027456,0.27155,89.70100000000001,0
-0.025043,-0.00016438,0.025044,182.7,0
0.21677,0.026882,0.21843,224.15,0
-2.6181,-6.0544,6.5962,133.94,0
-0.11342999999999999,0.053362,0.12536,332.69,0
-0.16658,0.0075956,0.16675,0.0,1
1.85e-14,4.26e-14,4.64e-14,0.0,1
0.060752,0.05784500000000001,0.083886,299.01,0
0.019531,-0.040113,0.044614999999999995,159.95,0
0.16437000000000002,-0.4991,0.52547,326.16,0
0.15663,-0.3634,0.39571999999999996,490.01,0
-0.019141,0.15893,0.16008,71.143,2
0.18953,-0.069716,0.20195,94.676,5
-0.70381,-1.7324,1.8699,6.4778,0
0.55605,0.062077999999999994,0.5595,183.47,0
0.23094,-0.38306,0.44728999999999997,279.37,0
-0.21216999999999997,0.0074781000000000005,0.2123,304.11,5
0.17762,0.13002,0.22013000000000002,42.473,0
-12.677999999999999,-2.6457,12.950999999999999,0.0,1
0.72026,0.38445,0.81645,35.891999999999996,0
1.2162,0.21681,1.2354,54.48,0
-2.2814,37.119,37.189,0.0,1
-0.31817,-0.037777,0.32041,18.397000000000002,0
-0.7782399999999999,-0.9907100000000001,1.2598,57.878,0
-0.0011639,0.007394499999999999,0.0074855,97.786,0
-0.057113,0.43425,0.43799,264.17,2
0.41666000000000003,-0.0048913,0.41668,484.86,0
-0.5032,1.8684,1.935,1069.2,0
0.21936999999999998,-0.42596000000000006,0.47913999999999995,190.76,0
-0.02671,-0.0034266999999999995,0.026929,121.18,0
-0.018906,-0.067481,0.07007999999999999,286.52,0
-0.0023081,0.014794999999999999,0.014974000000000001,103.85,0
0.2565,0.035223000000000004,0.25891,203.26,0
0.24195999999999998,0.023819999999999997,0.24313,598.79,2
1.6623,-0.094665,1.665,67.013,0
0.37135999999999997,-0.064749,0.37696,27.999000000000002,0
0.32905,0.071503,0.33673000000000003,441.24,0
-0.23459000000000002,-0.022268,0.23565,140.59,0
0.020938,-0.08084,0.08350700000000001,50.053000000000004,0
0.0029994,0.069925,0.069989,89.70299999999999,0
0.11150999999999998,-0.0202,0.11332,179.88,0
0.19342,0.02818,0.19546,205.52,0
0.29351,0.042794,0.29661,507.8,0
-0.033377,0.030659,0.045321,656.56,0
0.08068600000000001,-0.030113,0.086123,492.6,0
0.16169,-0.97615,0.98945,402.0,0
-1.6748,-1.6822,2.3738,215.04,2
-0.48417,-0.41972,0.64077,95.369,0
-7.4075,-1.5404,7.566,836.1,0
0.049961,-0.023625,0.055264999999999995,269.12,0
0.1414,-0.41615,0.43951999999999997,33.234,0
0.14231,-0.040826,0.14805,21.99,0
0.31501,0.10720999999999999,0.33275,605.06,0
0.13688,0.072173,0.15474000000000002,418.42,0
-0.060367,0.4937,0.49737,255.44,2
0.00080692,-0.0051732,0.0052357,89.706,0
-0.14937999999999999,0.12409,0.1942,55.345,0
0.017582,0.016801,0.024319,160.12,0
-0.088862,0.030123,0.093829,79.471,0
3.17e-15,4.63e-14,4.64e-14,0.0,5
0.10032,-0.006044,0.1005,632.77,0
5.5641,-12.665999999999999,13.834000000000001,81.227,0
0.22421,-5.7441,5.7485,0.0,0
-0.18272,-0.023213,0.18417999999999998,328.11,0
